Question,label,pred,diff
Is there evidence for a warming world?,1,1,0
Are there multiple independent climate indicators for a warming world?,1,1,0
"Do changes in surface, atmospheric, and oceanic temperatures indicate a warming world?",1,1,0
Does the evidence for a warming world come from high up in the atmosphere to the depths of the oceans?,1,1,0
Are glaciers an indicator of a warming world?,1,1,0
Does changes in snow cover indicate a warming world?,1,1,0
Does sea ice indicate a warming world?,1,1,0
Does sea level indicate a warming world?,1,1,0
Does atmospheric water vapor indicate a warming world?,1,1,0
Have scientists independently verified the evidence for a warming world many times?,1,1,0
Is it unequivocal that the world has warmed since the 19th century?,1,1,0
Does discussion about climate warming often center on potential residual biases in temperature records from land-based weather stations?,1,1,0
Do land-based weather stations represent only one indicator of changes in the climate system?,1,1,0
Does broader evidence for a warming world come from a wide range of independent physically consistent measurements?,1,1,0
Is a rise in global average surface temperatures the best-known indicator of climate change?,1,1,0
Have global surface temperatures warmed substantially since 1900?,1,1,0
Do warming land temperatures correspond closely with the observed warming trend over the oceans?,1,1,0
Do warming oceanic air temperatures coincide with temperatures of the sea surface itself?,1,1,0
Should warming at the surface also be seen in the lower atmosphere and deeper down into the upper oceans?,1,1,0
Do analyses of measurements made by weather balloon radiosondes and satellites consistently show warming of the troposphere?,1,1,0
Has more than 90% of the excess energy absorbed by the climate system been stored in the oceans since at least the 1970s?,1,1,0
Does the expansion of water contribute to the rise in sea levels over the past century?,1,1,0
Do melting glaciers and ice sheets contribute to the rise in sea level?,1,1,0
Do changes in storage and usage of water on land contribute to the rise in sea level?,1,1,0
Is a warmer world a moister one?,1,1,0
Has specific humidity increased over both the land and the oceans?,1,1,0
Do the frozen parts of the planet collectively known as the cryosphere affect local changes in temperature?,1,1,0
Has the amount of ice contained in glaciers globally been declining every year for more than 20 years?,1,1,0
"Is snow cover sensitive to changes in temperature, particularly during the spring?",1,1,0
Has spring snow cover shrunk across the NH since the 1950s?,1,1,0
Have substantial losses in Arctic sea ice been observed since satellite records began?,1,1,0
Has there been a smaller increase in Antarctic sea ice?,1,1,0
Can any single analysis be unconvincing when considering the evidence of a warming world?,1,1,0
Do different indicators and independent data sets all point to the same conclusion of a warming world?,1,1,0
Does the evidence unequivocally point to a warming world since the late 19th century?,1,1,0
Is the evidence for a warming world consistent across different parts of the atmosphere and oceans?,1,1,0
"Are warming air and oceans, melting ice, and rising seas all indicators of a warming world?",1,1,0
Does the evidence indicate that the world has not cooled since the 19th century?,1,1,0
Is there evidence that contradicts a warming world?,0,0,0
Are climate indicators unrelated to each other?,0,0,0
Is the evidence for a warming world based on biased data from land-based weather stations?,0,0,0
Does the evidence contradict the idea of a warming world since the 19th century?,0,0,0
Are climate scientists divided on the evidence for a warming world?,0,0,0
Is there evidence that the world has not warmed since the 19th century?,0,0,0
Does the evidence indicate that the climate system has remained unchanged over time?,0,0,0
Is the evidence for a warming world inconsistent across different measurements?,0,0,0
Is there evidence that the world has cooled since the 19th century?,0,0,0
Is there no connection between land temperatures and oceanic temperatures?,0,0,0
Are changes in temperature unrelated to changes in snow cover?,0,0,0
Does sea ice indicate a cooling world?,0,0,0
Does the evidence suggest that sea level has not risen over the past century?,0,0,0
Does the evidence indicate a decrease in atmospheric water vapor?,0,0,0
Do the models agree on the direction of future global change?,1,1,0
Can the size of future changes be precisely predicted?,0,0,0
Could future greenhouse gas emission rates take any trajectory?,1,1,0
Are some underlying physical processes difficult to model?,1,1,0
Do uncertainties and natural variability produce an 'uncertainty range' in temperature projections?,1,1,0
Can the uncertainty range around projected greenhouse gas emissions be materially reduced?,0,1,1
"Can understanding, climate models, and observational constraints reduce the uncertainty range?",1,1,0
Is the process of reducing the uncertainty range slow?,1,1,0
Has climate science made many important advances?,1,1,0
Are there better understanding and tools to model various processes in the climate system?,1,1,0
Do more observations allow for better evaluation of models and improved projections?,1,1,0
Have projections of sea level rise become more accurate?,1,1,0
Is there a range in plausible projections for future global and regional climate?,1,1,0
"Do uncertainties in climate projections arise from natural variability, future emissions, and the climate's response to emissions?",1,1,0
Are representations of some known processes still unrefined in climate models?,1,1,0
Are there fundamental limits to how precisely annual temperatures can be projected?,1,1,0
Are decadal-scale projections sensitive to prevailing conditions that are less well known?,1,1,0
Does natural variability contribute to uncertainties in climate projections?,1,1,0
Can natural variability be viewed as part of the 'noise' in the climate record?,1,1,0
Does natural variability have a greater influence on uncertainty at regional and local scales?,1,1,0
Will more knowledge eliminate uncertainties arising from natural variability?,0,0,0
Is some progress possible for projections up to a few years ahead by exploiting advances in knowledge of the cryosphere or ocean state and processes?,1,1,0
Does the relative importance of internal variability diminish when climate variables are averaged over decadal timescales or longer?,1,1,0
Is the long-term perspective consistent with a common definition of climate as an average over 30 years?,1,1,0
Does uncertainty in future emission rates of greenhouse gases and aerosol precursors contribute to the overall uncertainty in climate projections?,1,1,0
Do climate projections rely on input from variables related to future human society?,1,1,0
Can climate projections for different emissions scenarios be useful in showing the possible climatic consequences of different policy choices?,1,1,0
Are projections for the next few years and decades sensitive to emissions of short-lived compounds?,1,1,0
Are more distant projections more sensitive to alternative scenarios around long-lived greenhouse gas emissions?,1,1,0
Will improvements in climate science reduce scenario-dependent uncertainties in future emissions?,0,1,1
Is there imperfect knowledge of how the climate will respond to future anthropogenic emissions and land use change?,1,1,0
Do scientists use computer-based global climate models to estimate the climate's response to future emissions?,1,1,0
"Are different approximations made in different climate models, leading to differences in climate projections?",1,1,0
Is the contribution to the uncertainty range from different climate models referred to as 'response uncertainty' or 'model uncertainty'?,1,1,0
Could future climate follow many different scenarios within the range of current understanding and models?,1,1,0
Can observational records and improved models narrow the range in probable temperature in the next few decades?,1,1,0
Can information about the current state of the oceans and cryosphere produce better projections up to a few years ahead?,1,1,0
Can new geophysical processes be added to climate models as science improves?,1,1,0
Do improvements in climate models increase the estimates of climate response uncertainty?,1,0,-1
Do increases in model-derived estimates of climate response uncertainty reflect the quantification of previously unmeasured sources of uncertainty?,1,1,0
Does adding more important processes to climate models increase confidence in the projections?,1,1,0
Has warming led to changes in temperature extremes?,1,1,0
Have heavy precipitation increases occurred globally?,0,1,1
Are there discernable changes in tropical cyclone frequency?,0,1,1
Are climate extremes difficult to record and analyze?,1,1,0
Is there a consistent definition of extreme climatic events?,0,1,1
Have warm days and nights increased globally?,1,1,0
Have cold days and nights decreased globally?,1,1,0
Are changes in daily global temperature extremes established?,1,1,0
Are warm nights more apparent in minimum temperature extremes?,1,1,0
Have most global land areas experienced more heat waves?,1,1,0
Has the frequency of heat waves decreased in the south-eastern USA?,1,0,-1
Is there limited information on changes in heatwaves in Africa?,1,1,0
Are changes in extremes for climate variables coherent?,0,0,0
Are increases in precipitation extremes consistent with a warmer climate?,1,1,0
Have extreme precipitation events increased globally?,0,1,1
Is there evidence of decreases in heavy precipitation in southern Australia?,1,0,-1
Do drought studies agree on the global trend?,0,0,0
Have droughts increased in the Mediterranean region?,1,1,0
Have droughts decreased in central North America?,1,0,-1
Are there conclusive statements about long-term trends in tropical cyclones?,0,0,0
Has storm activity increased in the North Atlantic since the 1970s?,1,1,0
Are there slight decreases in the frequency of tropical cyclones making landfall in the North Atlantic?,1,0,-1
Is there evidence of a longer-term trend in other ocean basins?,0,1,1
Has there been a poleward shift in extratropical cyclones?,1,1,0
Is there limited evidence of a decrease in wind storm frequency at mid-latitudes?,1,1,0
Are there robust global changes in measures of daily temperature?,1,1,0
Are precipitation extremes increasing globally?,1,1,0
Are observed trends in droughts uncertain globally?,1,1,0
Have tropical cyclone frequency and activity increased in the North Atlantic since the 1970s?,1,1,0
Are there limited changes in extremes associated with other climate variables since the mid-20th century?,1,0,-1
Is the ocean warming consistently across all regions and time periods?,0,0,0
Does the signature of warming become clearer when considering global or ocean basin averages over longer time spans?,1,1,0
Can ocean temperatures at a specific location vary greatly with the seasons?,1,1,0
Is the fluctuation of ocean temperatures mainly due to variations in ocean currents and heat exchange with the atmosphere?,1,1,0
Were comprehensive measurements of ocean temperatures available before 1971?,0,0,0
Did the international Argo temperature/salinity profiling float array achieve global coverage before 2005?,0,0,0
Did the global average upper ocean temperature for any given year depend on the methodology used to estimate it?,1,1,0
Have global mean upper ocean temperatures increased from 1971 to 2010?,1,1,0
Does the temperature trend decrease as depth increases in the ocean?,1,0,-1
Is the temperature trend in the ocean's subsurface affected only by mixing from above?,0,0,0
Can colder waters from high latitudes sink to the subsurface and spread beneath warmer waters at lower latitudes?,1,1,0
Does the temperature of deep waters in the North Atlantic vary from decade to decade?,1,1,0
Have bottom waters around Antarctica warmed detectably from 1992 to 2005?,1,1,0
"Is the deep warming rate in the Indian, Atlantic, and Pacific Oceans smaller compared to the Southern Ocean?",1,1,0
Does deep ocean warming contribute significantly to the total increase in ocean heat?,1,1,0
Have estimates of historical changes in global average ocean temperature become more accurate in recent years?,1,1,0
Is the global average warming rate of the ocean uniform in time?,0,0,0
Does the ocean store more heat than the atmosphere for an equivalent increase in temperature?,1,1,0
"Has the ocean absorbed about 93% of the combined heat stored by air, sea, land, and melted ice between 1971 and 2010?",1,1,0
Does the ocean's thermal inertia cause it to adjust slowly to climate forcing?,1,1,0
Will the deep ocean temperature continue to warm for centuries to millennia if greenhouse gas concentrations remain constant?,1,1,0
Will sea levels continue to rise for centuries to millennia if greenhouse gas concentrations remain constant?,1,1,0
Is the ocean's heat capacity significantly larger than that of the atmosphere?,1,1,0
Is the Earth absorbing more heat than it is emitting back into space?,1,1,0
Is nearly all the excess heat entering the oceans and being stored there?,1,1,0
Would increases in Earth's surface temperature slow within about a decade if greenhouse gas concentrations were constant?,1,0,-1
Does the Earth's water cycle involve evaporation and precipitation?,1,1,0
Does changes in the atmosphere's water vapor content provide evidence of the water cycle responding to a warming climate?,1,1,0
Does the lack of long-term observations of rain and evaporation over the global oceans make changes in the distribution of ocean salinity an important proxy rain gauge?,1,1,0
Is the water cycle expected to intensify in a warmer climate?,1,1,0
Does warmer air have the ability to hold about 7% more water vapor for each degree Celsius of warming?,1,1,0
Have observations since the 1970s shown increases in surface and lower atmospheric water vapor?,1,1,0
Are evaporation and precipitation projected to intensify in a warmer climate?,1,1,0
Do recorded changes in ocean salinity support the projection of intensifying evaporation and precipitation in a warmer climate?,1,1,0
Does seawater's salinity change over human time scales?,0,1,1
Can the addition or removal of fresh water alter seawater's salinity?,1,1,0
