Question,label,pred,diff
Mental illnesses only affect a person's emotions.,0,0,0
Mental illnesses can disrupt a person's daily functioning.,1,1,0
Mental illnesses do not vary in severity; they are all equally serious.,0,0,0
Phobias are considered serious mental illnesses.,0,1,1
Serious mental illnesses can interfere with a person's daily life.,1,1,0
Major depression is classified as a serious mental illness.,1,1,0
Schizophrenia is a mild mental illness.,0,0,0
Mental illnesses have nothing to do with a person's character.,1,1,0
Mental illnesses are caused by a person's willpower.,0,0,0
Diabetes and mental illness are both medical conditions.,1,1,0
Mental illness is a result of the brain's biology.,1,1,0
Medication is not an effective treatment for mental illnesses.,0,0,0
Social support plays a role in treating mental illnesses.,1,1,0
Treatments for mental illnesses are rarely effective.,0,0,0
Most individuals receiving treatment for mental illnesses see an improvement in symptoms.,1,1,0
Treatment cannot improve a person's quality of life.,0,0,0
People with mental illnesses can never achieve independence.,0,0,0
Mental illnesses are unrelated to a person's intelligence.,1,1,0
Mental illnesses only affect a person's thoughts.,0,0,0
Relationships are unaffected by mental illnesses.,0,0,0
Mental illnesses only affect a person's physical health.,0,0,0
Some mental illnesses are mild and only interfere with certain aspects of life.,1,1,0
Bipolar disorder is not considered a serious mental illness.,0,0,0
Mental illnesses always require hospitalization.,0,0,0
Social support is not necessary for treating mental illnesses.,0,0,0
Mental illnesses are always lifelong conditions.,0,0,0
Treatment for mental illnesses is ineffective in most cases.,0,0,0
Medication is the only treatment option for mental illnesses.,0,0,0
There is no hope for a person with mental illness to lead a successful life.,0,0,0
Phobias are at the extreme end of the severity spectrum for mental illnesses.,0,0,0
Major depression can be treated without medication.,0,1,1
Medication and insulin are used interchangeably to treat diabetes.,0,0,0
Social support is as important as medication for treating mental illnesses.,1,1,0
Mental illnesses are not related to biological factors in the brain.,0,0,0
Mental illnesses are not considered medical conditions.,0,0,0
Mental illnesses can be completely cured with treatment.,0,0,0
"With proper treatment, individuals with mental illness can achieve success.",1,1,0
Mental illnesses are similar to diabetes in terms of medical treatment.,1,1,0
Mental illnesses are unrelated to a person's emotional well-being.,0,0,0
Treatment for mental illnesses is only effective in a small percentage of cases.,0,0,0
People with mental illnesses lack the capacity for ordinary activities.,0,0,0
Mental illnesses can disrupt a person's relationships.,1,1,0
Certain phobias are considered mild mental illnesses.,1,1,0
Mental illnesses affect a person's intelligence.,0,0,0
Mental illnesses can be overcome with willpower alone.,0,0,0
Bipolar disorder is a type of serious mental illness.,1,1,0
Schizophrenia can be treated with medication and social support.,1,1,0
Mental illnesses are always hereditary.,0,0,0
Diabetes and mental illness both require medical attention.,1,1,0
Medication is the sole treatment for mental illnesses.,0,0,0
Social support has no impact on the treatment of mental illnesses.,0,0,0
Mental illnesses cannot be treated effectively.,0,0,0
Independence is achievable for individuals with mental illnesses.,1,1,0
Does mental illness affect 1 in 10 adults in America?,0,0,0
Is it estimated that 1 in 24 adults have a serious mental illness?,1,1,0
Can mental illness affect people regardless of their background?,1,1,0
Are eating disorders more common in males?,0,0,0
Is attention deficit/hyperactivity disorder more prevalent in children?,1,1,0
Are young and old people less vulnerable to mental illnesses?,0,0,0
Do 75 percent of mental health conditions develop after the age of 24?,0,0,0
Can the normal personality and behavioral changes of adolescence mask mental health symptoms?,1,1,0
"Should parents and caretakers be aware of changes in their child's mood, personality, personal habits, and social withdrawal?",1,1,0
Are serious emotional disturbances (SEDs) only seen in adults?,0,0,0
Does mental illness discriminate based on gender?,0,0,0
Is it true that mental illness can affect individuals regardless of their age?,1,1,0
Are eating disorders equally prevalent in all genders?,0,0,0
Are disorders like attention deficit/hyperactivity disorder more common in adults?,0,0,0
Is the prime of life the most vulnerable time for mental illnesses to strike?,1,0,-1
Should parents and caretakers ignore changes in their child's mood and habits?,0,0,0
"Is the term ""serious emotional disturbances (SEDs)"" used to describe changes in adults' behavior?",0,0,0
Is mental illness limited to certain age groups?,0,0,0
Are eating disorders and attention deficit/hyperactivity disorder equally prevalent in all age groups?,0,0,0
Does mental illness affect people based on their income?,0,1,1
Can mental illness affect people regardless of their sexual orientation?,1,1,0
Are eating disorders more common in females?,1,1,0
Are young and old people equally vulnerable to mental illnesses?,0,0,0
Should parents and caretakers take notice of personality changes in their child?,1,1,0
Is it more difficult to identify and treat mental disorders in the prime of life?,0,0,0
Is it easy to distinguish between normal and mental health-related changes in adolescents?,0,0,0
Is it crucial to monitor changes in the mood of individuals under 18 years old?,1,1,0
"Is the term ""serious emotional disturbances (SEDs)"" only used for adults over 24 years old?",0,0,0
Does mental illness discriminate based on ethnicity?,0,0,0
Can mental illness affect people regardless of their religion?,1,1,0
Are eating disorders more common in children than in adults?,1,0,-1
Are disorders like attention deficit/hyperactivity disorder more common in the elderly?,0,0,0
Should parents and caretakers pay attention to social withdrawal in their children?,1,1,0
Is it more challenging to identify mental health conditions in adolescents?,1,1,0
Are personality and behavioral changes during adolescence always indicative of mental health issues?,0,0,0
Is it essential to monitor personality changes in individuals under 18 years old?,1,1,0
"Is the term ""serious emotional disturbances (SEDs)"" used to describe symptoms in children?",1,1,0
Can mental illness affect people regardless of their social status?,1,1,0
Are eating disorders more common in males than females?,0,0,0
Is attention deficit/hyperactivity disorder equally prevalent in all age groups?,0,0,0
Does mental illness discriminate based on age?,0,0,0
Can mental illness affect people regardless of their age?,1,1,0
Are eating disorders more common in children than in adults?,1,0,-1
Are disorders like attention deficit/hyperactivity disorder more common in the elderly?,0,0,0
Should parents and caretakers pay attention to social withdrawal in their children?,1,1,0
Is it more challenging to identify mental health conditions in adolescents?,1,1,0
Are personality and behavioral changes during adolescence always indicative of mental health issues?,0,0,0
Is it essential to monitor personality changes in individuals under 18 years old?,1,1,0
"Is the term ""serious emotional disturbances (SEDs)"" used to describe symptoms in children?",1,1,0
Can mental illness affect people regardless of their social status?,1,1,0
Are eating disorders more common in males than females?,0,0,0
Is attention deficit/hyperactivity disorder equally prevalent in all age groups?,0,0,0
Does mental illness discriminate based on age?,0,0,0
Can mental illness affect people regardless of their age?,1,1,0
Are eating disorders more common in children than in adults?,1,0,-1
Are disorders like attention deficit/hyperactivity disorder more common in the elderly?,0,0,0
Should parents and caretakers pay attention to social withdrawal in their children?,1,1,0
Is it more challenging to identify mental health conditions in adolescents?,1,1,0
Are personality and behavioral changes during adolescence always indicative of mental health issues?,0,0,0
Is it essential to monitor personality changes in individuals under 18 years old?,1,1,0
"Is the term ""serious emotional disturbances (SEDs)"" used to describe symptoms in children?",1,1,0
Can mental illness affect people regardless of their social status?,1,1,0
Are eating disorders more common in males than females?,0,0,0
Is attention deficit/hyperactivity disorder equally prevalent in all age groups?,0,0,0
Does mental illness discriminate based on age?,0,0,0
Can mental illness affect people regardless of their age?,1,1,0
Are eating disorders more common in children than in adults?,1,0,-1
Are disorders like attention deficit/hyperactivity disorder more common in the elderly?,0,0,0
Should parents and caretakers pay attention to social withdrawal in their children?,1,1,0
Is it more challenging to identify mental health conditions in adolescents?,1,1,0
Are personality and behavioral changes during adolescence always indicative of mental health issues?,0,0,0
Is it essential to monitor personality changes in individuals under 18 years old?,1,1,0
"Is the term ""serious emotional disturbances (SEDs)"" used to describe symptoms in children?",1,1,0
Can mental illness affect people regardless of their social status?,1,1,0
Are eating disorders more common in males than females?,0,0,0
Is attention deficit/hyperactivity disorder equally prevalent in all age groups?,0,0,0
Do symptoms of mental health disorders vary in severity?,1,1,0
Can multiple symptoms be expressed simultaneously?,1,1,0
Are confused thinking and long-lasting sadness symptoms in adults?,1,1,0
Do extreme highs and lows in mood indicate mental health disorders in adults?,1,1,0
Is excessive fear a potential symptom of mental health disorders in adults?,1,1,0
Does social withdrawal suggest a mental health disorder in adults?,1,1,0
Can dramatic changes in eating or sleeping habits be related to mental health disorders in adults?,1,1,0
Are strong feelings of anger associated with mental health disorders in adults?,1,1,0
Can adults with mental health disorders experience delusions or hallucinations?,1,1,0
Do thoughts of suicide indicate a potential mental health issue in adults?,1,1,0
Is the denial of obvious problems a symptom of mental health disorders in adults?,1,1,0
Can adults with mental health disorders have many unexplained physical problems?,1,1,0
Is abuse of drugs and/or alcohol a possible symptom in adults with mental health disorders?,1,1,0
Are older children and pre-teens also susceptible to abusing drugs and/or alcohol?,1,1,0
Can older children and pre-teens have difficulty coping with daily problems and activities?,1,1,0
Are changes in sleeping and/or eating habits common in older children and pre-teens with mental health disorders?,1,1,0
Do older children and pre-teens often complain about physical problems excessively?,1,0,-1
"Can defying authority, skipping school, stealing, or damaging property be related to mental health disorders in older children and pre-teens?",1,1,0
Is an intense fear of gaining weight a potential symptom in older children and pre-teens with mental health disorders?,1,1,0
"Does long-lasting negative mood, poor appetite, and thoughts of death indicate a mental health issue in older children and pre-teens?",1,1,0
Do older children and pre-teens frequently experience outbursts of anger?,1,1,0
Are changes in school performance observed in younger children with mental health disorders?,1,1,0
Can younger children get poor grades despite strong efforts due to mental health issues?,1,1,0
Is excessive worrying or anxiety common in younger children with mental health disorders?,1,1,0
Can hyperactivity be a potential symptom in younger children with mental health disorders?,1,1,0
Do younger children experience persistent nightmares due to mental health issues?,1,1,0
Is persistent disobedience and/or aggressive behavior observed in younger children with mental health disorders?,1,1,0
